File	BHL Page ID	Instance of	Published In	Published In QID	Collection	Sponsor	Bibliography ID	Illustrator	Inception	Names
Abbildungen zur Naturgeschichte Brasiliens (Plate 1) (6011854813).jpg	35280596	Illustration	Abbildungen zur Naturgeschichte Brasiliens	Q51437060	Smithsonian Libraries and Archives	Smithsonian Institution Libraries	51486		1831-01-01	
Abbildungen zur Naturgeschichte Brasiliens (Plate 10) (6011857337).jpg	35280548	Illustration	Abbildungen zur Naturgeschichte Brasiliens	Q51437060	Smithsonian Libraries and Archives	Smithsonian Institution Libraries	51486		1831-01-01	Phyllostoma 
Abbildungen zur Naturgeschichte Brasiliens (Plate 11) (6011857697).jpg	35280552	Illustration	Abbildungen zur Naturgeschichte Brasiliens	Q51437060	Smithsonian Libraries and Archives	Smithsonian Institution Libraries	51486		1831-01-01	
Abbildungen zur Naturgeschichte Brasiliens (Plate 12) (6012404718).jpg	35280556	Illustration	Abbildungen zur Naturgeschichte Brasiliens	Q51437060	Smithsonian Libraries and Archives	Smithsonian Institution Libraries	51486		1831-01-01	
Abbildungen zur Naturgeschichte Brasiliens (Plate 13) (6012405010).jpg	35280560	Illustration	Abbildungen zur Naturgeschichte Brasiliens	Q51437060	Smithsonian Libraries and Archives	Smithsonian Institution Libraries	51486		1831-01-01	Phyllostoma 
Abbildungen zur Naturgeschichte Brasiliens (Plate 14) (6012405298).jpg	35280564	Illustration	Abbildungen zur Naturgeschichte Brasiliens	Q51437060	Smithsonian Libraries and Archives	Smithsonian Institution Libraries	51486		1831-01-01	Noctilio dorsatus 
Abbildungen zur Naturgeschichte Brasiliens (Plate 15) (6012405564).jpg	35280568	Illustration	Abbildungen zur Naturgeschichte Brasiliens	Q51437060	Smithsonian Libraries and Archives	Smithsonian Institution Libraries	51486		1831-01-01	
Abbildungen zur Naturgeschichte Brasiliens (Plate 16) (6012405784).jpg	35280610	Illustration	Abbildungen zur Naturgeschichte Brasiliens	Q51437060	Smithsonian Libraries and Archives	Smithsonian Institution Libraries	51486		1831-01-01	
Abbildungen zur Naturgeschichte Brasiliens (Plate 17) (6011859221).jpg	35280614	Illustration	Abbildungen zur Naturgeschichte Brasiliens	Q51437060	Smithsonian Libraries and Archives	Smithsonian Institution Libraries	51486		1831-01-01	Vespertilio 
Abbildungen zur Naturgeschichte Brasiliens (Plate 18) (6011859463).jpg	35280618	Illustration	Abbildungen zur Naturgeschichte Brasiliens	Q51437060	Smithsonian Libraries and Archives	Smithsonian Institution Libraries	51486		1831-01-01	Vespertilio leucogaster 
Abbildungen zur Naturgeschichte Brasiliens (Plate 19) (6011859705).jpg	35280622	Illustration	Abbildungen zur Naturgeschichte Brasiliens	Q51437060	Smithsonian Libraries and Archives	Smithsonian Institution Libraries	51486		1831-01-01	
Abbildungen zur Naturgeschichte Brasiliens (Plate 2) (6011855103).jpg	35280592	Illustration	Abbildungen zur Naturgeschichte Brasiliens	Q51437060	Smithsonian Libraries and Archives	Smithsonian Institution Libraries	51486		1831-01-01	
Abbildungen zur Naturgeschichte Brasiliens (Plate 20) (6012406682).jpg	35280626	Illustration	Abbildungen zur Naturgeschichte Brasiliens	Q51437060	Smithsonian Libraries and Archives	Smithsonian Institution Libraries	51486		1831-01-01	
Abbildungen zur Naturgeschichte Brasiliens (Plate 21) (6011860207).jpg	35280630	Illustration	Abbildungen zur Naturgeschichte Brasiliens	Q51437060	Smithsonian Libraries and Archives	Smithsonian Institution Libraries	51486		1831-01-01	Felis macroura 
Abbildungen zur Naturgeschichte Brasiliens (Plate 22) (6011860503).jpg	35280634	Illustration	Abbildungen zur Naturgeschichte Brasiliens	Q51437060	Smithsonian Libraries and Archives	Smithsonian Institution Libraries	51486		1831-01-01	
Abbildungen zur Naturgeschichte Brasiliens (Plate 23) (6011860805).jpg	35280638	Illustration	Abbildungen zur Naturgeschichte Brasiliens	Q51437060	Smithsonian Libraries and Archives	Smithsonian Institution Libraries	51486		1831-01-01	
Abbildungen zur Naturgeschichte Brasiliens (Plate 24) (6012407828).jpg	35280642	Illustration	Abbildungen zur Naturgeschichte Brasiliens	Q51437060	Smithsonian Libraries and Archives	Smithsonian Institution Libraries	51486		1831-01-01	
