File	BHL Page ID	Instance of	Published In	Published In QID	Collection	Sponsor	Bibliography ID	Illustrator	Inception
Beitrag zur Flora Brasiliens (Pl. 1) (8226085151).jpg	789009	Illustration	Beitrag zur Flora Brasiliens	Q51446243	Missouri Botanical Garden, Peter H. Raven Library	Missouri Botanical Garden	909	Q131760409	1824-01-01
Beitrag zur Flora Brasiliens (Pl. 10) (8226088683).jpg	789115	Illustration	Beitrag zur Flora Brasiliens	Q51446243	Missouri Botanical Garden, Peter H. Raven Library	Missouri Botanical Garden	909	Q131760409	1824-01-01
Beitrag zur Flora Brasiliens (Pl. 11) (8227161476).jpg	789130	Illustration	Beitrag zur Flora Brasiliens	Q51446243	Missouri Botanical Garden, Peter H. Raven Library	Missouri Botanical Garden	909	Q131760409	1824-01-01
Beitrag zur Flora Brasiliens (Pl. 12) (8227161802).jpg	789133	Illustration	Beitrag zur Flora Brasiliens	Q51446243	Missouri Botanical Garden, Peter H. Raven Library	Missouri Botanical Garden	909	Q131760409	1824-01-01
Beitrag zur Flora Brasiliens (Pl. 13) (8227162136).jpg	789136	Illustration	Beitrag zur Flora Brasiliens	Q51446243	Missouri Botanical Garden, Peter H. Raven Library	Missouri Botanical Garden	909	Q131760409	1824-01-01
Beitrag zur Flora Brasiliens (Pl. 14) (8226090267).jpg	789143	Illustration	Beitrag zur Flora Brasiliens	Q51446243	Missouri Botanical Garden, Peter H. Raven Library	Missouri Botanical Garden	909	Q131760409	1824-01-01
Beitrag zur Flora Brasiliens (Pl. 2) (8226085515).jpg	789018	Illustration	Beitrag zur Flora Brasiliens	Q51446243	Missouri Botanical Garden, Peter H. Raven Library	Missouri Botanical Garden	909	Q131760409	1824-01-01
Beitrag zur Flora Brasiliens (Pl. 3) (8226085871).jpg	789041	Illustration	Beitrag zur Flora Brasiliens	Q51446243	Missouri Botanical Garden, Peter H. Raven Library	Missouri Botanical Garden	909	Q131760409	1824-01-01
Beitrag zur Flora Brasiliens (Pl. 4) (8227158968).jpg	789068	Illustration	Beitrag zur Flora Brasiliens	Q51446243	Missouri Botanical Garden, Peter H. Raven Library	Missouri Botanical Garden	909	Q131760409	1824-01-01
Beitrag zur Flora Brasiliens (Pl. 5) (8227159208).jpg	789073	Illustration	Beitrag zur Flora Brasiliens	Q51446243	Missouri Botanical Garden, Peter H. Raven Library	Missouri Botanical Garden	909	Q131760409	1824-01-01
Beitrag zur Flora Brasiliens (Pl. 6) (8227159634).jpg	789078	Illustration	Beitrag zur Flora Brasiliens	Q51446243	Missouri Botanical Garden, Peter H. Raven Library	Missouri Botanical Garden	909	Q131760409	1824-01-01
Beitrag zur Flora Brasiliens (Pl. 7) (8227159940).jpg	789096	Illustration	Beitrag zur Flora Brasiliens	Q51446243	Missouri Botanical Garden, Peter H. Raven Library	Missouri Botanical Garden	909	Q131760409	1824-01-01
Beitrag zur Flora Brasiliens (Pl. 8) (8227160312).jpg	789099	Illustration	Beitrag zur Flora Brasiliens	Q51446243	Missouri Botanical Garden, Peter H. Raven Library	Missouri Botanical Garden	909	Q131760409	1824-01-01
Beitrag zur Flora Brasiliens (Pl. 9) (8226088147).jpg	789112	Illustration	Beitrag zur Flora Brasiliens	Q51446243	Missouri Botanical Garden, Peter H. Raven Library	Missouri Botanical Garden	909	Q131760409	1824-01-01
Beitrag zur Flora Brasiliens -von Maximilian, Prinz en von Wied?Neuwied, mit Beschreibungen von Nees von Esenbeck, u. von Martius. (IA mobot31753000588464).pdf			Beitrag zur Flora Brasiliens	Q51446243	Missouri Botanical Garden, Peter H. Raven Library	Missouri Botanical Garden		Q131760409	1824-01-01
