File	BHL Page ID	Instance of	Published In	Published In QID	Collection	Sponsor	Bibliography ID	Illustrator	Engraver	Ref URL for Authors	Inception	Names
Les bois indigènes de São Paulo (Page 100) BHL13034924.jpg	13034924	Text Illustration	Les bois indigènes de São Paulo	Q51406082	New York Botanical Garden, LuEsther T. Mertz Library	The LuEsther T Mertz Library, the New York Botanical Garden	13072	Q10340184			1916-01-01	| permissions = NOT_IN_COPYRIGHT<br>
Les bois indigènes de São Paulo (Page 103) BHL13034927.jpg	13034927	Text Illustration	Les bois indigènes de São Paulo	Q51406082	New York Botanical Garden, LuEsther T. Mertz Library	The LuEsther T Mertz Library, the New York Botanical Garden	13072	Q10340184			1916-01-01	| permissions = NOT_IN_COPYRIGHT<br>
Les bois indigènes de São Paulo (Page 112) BHL13034936.jpg	13034936	Text Illustration	Les bois indigènes de São Paulo	Q51406082	New York Botanical Garden, LuEsther T. Mertz Library	The LuEsther T Mertz Library, the New York Botanical Garden	13072	Q10340184			1916-01-01	| permissions = NOT_IN_COPYRIGHT<br>
Les bois indigènes de São Paulo (Page 113) BHL13034937.jpg	13034937	Text Illustration	Les bois indigènes de São Paulo	Q51406082	New York Botanical Garden, LuEsther T. Mertz Library	The LuEsther T Mertz Library, the New York Botanical Garden	13072	Q10340184			1916-01-01	| permissions = NOT_IN_COPYRIGHT<br>
Les bois indigènes de São Paulo (Page 117) BHL13034941.jpg	13034941	Text Illustration	Les bois indigènes de São Paulo	Q51406082	New York Botanical Garden, LuEsther T. Mertz Library	The LuEsther T Mertz Library, the New York Botanical Garden	13072	Q10340184			1916-01-01	| permissions = NOT_IN_COPYRIGHT<br>
Les bois indigènes de São Paulo (Page 119) BHL13034943.jpg	13034943	Text Illustration	Les bois indigènes de São Paulo	Q51406082	New York Botanical Garden, LuEsther T. Mertz Library	The LuEsther T Mertz Library, the New York Botanical Garden	13072	Q10340184			1916-01-01	| permissions = NOT_IN_COPYRIGHT<br>
Les bois indigènes de São Paulo (Page 120) BHL13034944.jpg	13034944	Text Illustration	Les bois indigènes de São Paulo	Q51406082	New York Botanical Garden, LuEsther T. Mertz Library	The LuEsther T Mertz Library, the New York Botanical Garden	13072	Q10340184			1916-01-01	| permissions = NOT_IN_COPYRIGHT<br>
Les bois indigènes de São Paulo (Page 121) BHL13034945.jpg	13034945	Text Illustration	Les bois indigènes de São Paulo	Q51406082	New York Botanical Garden, LuEsther T. Mertz Library	The LuEsther T Mertz Library, the New York Botanical Garden	13072	Q10340184			1916-01-01	| permissions = NOT_IN_COPYRIGHT<br>
Les bois indigènes de São Paulo (Page 122) BHL13034946.jpg	13034946	Text Illustration	Les bois indigènes de São Paulo	Q51406082	New York Botanical Garden, LuEsther T. Mertz Library	The LuEsther T Mertz Library, the New York Botanical Garden	13072	Q10340184			1916-01-01	| permissions = NOT_IN_COPYRIGHT<br>
Les bois indigènes de São Paulo (Page 124) BHL13034948.jpg	13034948	Text Illustration	Les bois indigènes de São Paulo	Q51406082	New York Botanical Garden, LuEsther T. Mertz Library	The LuEsther T Mertz Library, the New York Botanical Garden	13072	Q10340184			1916-01-01	| permissions = NOT_IN_COPYRIGHT<br>
Les bois indigènes de São Paulo (Page 125) BHL13034949.jpg	13034949	Text Illustration	Les bois indigènes de São Paulo	Q51406082	New York Botanical Garden, LuEsther T. Mertz Library	The LuEsther T Mertz Library, the New York Botanical Garden	13072	Q10340184			1916-01-01	| permissions = NOT_IN_COPYRIGHT<br>
Les bois indigènes de São Paulo (Page 127) BHL13034951.jpg	13034951	Text Illustration	Les bois indigènes de São Paulo	Q51406082	New York Botanical Garden, LuEsther T. Mertz Library	The LuEsther T Mertz Library, the New York Botanical Garden	13072	Q10340184			1916-01-01	| permissions = NOT_IN_COPYRIGHT<br>
Les bois indigènes de São Paulo (Page 13) BHL13034824.jpg	13034824	Text Illustration	Les bois indigènes de São Paulo	Q51406082	New York Botanical Garden, LuEsther T. Mertz Library	The LuEsther T Mertz Library, the New York Botanical Garden	13072	Q10340184			1916-01-01	| permissions = NOT_IN_COPYRIGHT<br>
Les bois indigènes de São Paulo (Page 133) BHL13034957.jpg	13034957	Text Illustration	Les bois indigènes de São Paulo	Q51406082	New York Botanical Garden, LuEsther T. Mertz Library	The LuEsther T Mertz Library, the New York Botanical Garden	13072	Q10340184			1916-01-01	| permissions = NOT_IN_COPYRIGHT<br>
Les bois indigènes de São Paulo (Page 134) BHL13034958.jpg	13034958	Text Illustration	Les bois indigènes de São Paulo	Q51406082	New York Botanical Garden, LuEsther T. Mertz Library	The LuEsther T Mertz Library, the New York Botanical Garden	13072	Q10340184			1916-01-01	| permissions = NOT_IN_COPYRIGHT<br>
Les bois indigènes de São Paulo (Page 136) BHL13034960.jpg	13034960	Text Illustration	Les bois indigènes de São Paulo	Q51406082	New York Botanical Garden, LuEsther T. Mertz Library	The LuEsther T Mertz Library, the New York Botanical Garden	13072	Q10340184			1916-01-01	| permissions = NOT_IN_COPYRIGHT<br>
Les bois indigènes de São Paulo (Page 137) BHL13034961.jpg	13034961	Text Illustration	Les bois indigènes de São Paulo	Q51406082	New York Botanical Garden, LuEsther T. Mertz Library	The LuEsther T Mertz Library, the New York Botanical Garden	13072	Q10340184			1916-01-01	| permissions = NOT_IN_COPYRIGHT<br>
Les bois indigènes de São Paulo (Page 140) BHL13034964.jpg	13034964	Text Illustration	Les bois indigènes de São Paulo	Q51406082	New York Botanical Garden, LuEsther T. Mertz Library	The LuEsther T Mertz Library, the New York Botanical Garden	13072	Q10340184			1916-01-01	| permissions = NOT_IN_COPYRIGHT<br>
Les bois indigènes de São Paulo (Page 141) BHL13034965.jpg	13034965	Text Illustration	Les bois indigènes de São Paulo	Q51406082	New York Botanical Garden, LuEsther T. Mertz Library	The LuEsther T Mertz Library, the New York Botanical Garden	13072	Q10340184			1916-01-01	| permissions = NOT_IN_COPYRIGHT<br>
Les bois indigènes de São Paulo (Page 142) BHL13034966.jpg	13034966	Text Illustration	Les bois indigènes de São Paulo	Q51406082	New York Botanical Garden, LuEsther T. Mertz Library	The LuEsther T Mertz Library, the New York Botanical Garden	13072	Q10340184			1916-01-01	| permissions = NOT_IN_COPYRIGHT<br>
Les bois indigènes de São Paulo (Page 163) BHL13034987.jpg	13034987	Text Illustration	Les bois indigènes de São Paulo	Q51406082	New York Botanical Garden, LuEsther T. Mertz Library	The LuEsther T Mertz Library, the New York Botanical Garden	13072	Q10340184			1916-01-01	| permissions = NOT_IN_COPYRIGHT<br>
Les bois indigènes de São Paulo (Page 164) BHL13034988.jpg	13034988	Text Illustration	Les bois indigènes de São Paulo	Q51406082	New York Botanical Garden, LuEsther T. Mertz Library	The LuEsther T Mertz Library, the New York Botanical Garden	13072	Q10340184			1916-01-01	| permissions = NOT_IN_COPYRIGHT<br>
Les bois indigènes de São Paulo (Page 165) BHL13034989.jpg	13034989	Text Illustration	Les bois indigènes de São Paulo	Q51406082	New York Botanical Garden, LuEsther T. Mertz Library	The LuEsther T Mertz Library, the New York Botanical Garden	13072	Q10340184			1916-01-01	| permissions = NOT_IN_COPYRIGHT<br>
Les bois indigènes de São Paulo (Page 169) BHL13034993.jpg	13034993	Text Illustration	Les bois indigènes de São Paulo	Q51406082	New York Botanical Garden, LuEsther T. Mertz Library	The LuEsther T Mertz Library, the New York Botanical Garden	13072	Q10340184			1916-01-01	| permissions = NOT_IN_COPYRIGHT<br>
Les bois indigènes de São Paulo (Page 171) BHL13034995.jpg	13034995	Text Illustration	Les bois indigènes de São Paulo	Q51406082	New York Botanical Garden, LuEsther T. Mertz Library	The LuEsther T Mertz Library, the New York Botanical Garden	13072	Q10340184			1916-01-01	| permissions = NOT_IN_COPYRIGHT<br>
Les bois indigènes de São Paulo (Page 172) BHL13034996.jpg	13034996	Text Illustration	Les bois indigènes de São Paulo	Q51406082	New York Botanical Garden, LuEsther T. Mertz Library	The LuEsther T Mertz Library, the New York Botanical Garden	13072	Q10340184			1916-01-01	| permissions = NOT_IN_COPYRIGHT<br>
Les bois indigènes de São Paulo (Page 173) BHL13034997.jpg	13034997	Text Illustration	Les bois indigènes de São Paulo	Q51406082	New York Botanical Garden, LuEsther T. Mertz Library	The LuEsther T Mertz Library, the New York Botanical Garden	13072	Q10340184			1916-01-01	| permissions = NOT_IN_COPYRIGHT<br>
Les bois indigènes de São Paulo (Page 179) BHL13035003.jpg	13035003	Text Illustration	Les bois indigènes de São Paulo	Q51406082	New York Botanical Garden, LuEsther T. Mertz Library	The LuEsther T Mertz Library, the New York Botanical Garden	13072	Q10340184			1916-01-01	| permissions = NOT_IN_COPYRIGHT<br>
Les bois indigènes de São Paulo (Page 18) BHL13034829.jpg	13034829	Text Illustration	Les bois indigènes de São Paulo	Q51406082	New York Botanical Garden, LuEsther T. Mertz Library	The LuEsther T Mertz Library, the New York Botanical Garden	13072	Q10340184			1916-01-01	| permissions = NOT_IN_COPYRIGHT<br>
Les bois indigènes de São Paulo (Page 180) BHL13035004.jpg	13035004	Text Illustration	Les bois indigènes de São Paulo	Q51406082	New York Botanical Garden, LuEsther T. Mertz Library	The LuEsther T Mertz Library, the New York Botanical Garden	13072	Q10340184			1916-01-01	| permissions = NOT_IN_COPYRIGHT<br>
Les bois indigènes de São Paulo (Page 181) BHL13035005.jpg	13035005	Text Illustration	Les bois indigènes de São Paulo	Q51406082	New York Botanical Garden, LuEsther T. Mertz Library	The LuEsther T Mertz Library, the New York Botanical Garden	13072	Q10340184			1916-01-01	| permissions = NOT_IN_COPYRIGHT<br>
Les bois indigènes de São Paulo (Page 183) BHL13035007.jpg	13035007	Text Illustration	Les bois indigènes de São Paulo	Q51406082	New York Botanical Garden, LuEsther T. Mertz Library	The LuEsther T Mertz Library, the New York Botanical Garden	13072	Q10340184			1916-01-01	| permissions = NOT_IN_COPYRIGHT<br>
Les bois indigènes de São Paulo (Page 185) BHL13035009.jpg	13035009	Text Illustration	Les bois indigènes de São Paulo	Q51406082	New York Botanical Garden, LuEsther T. Mertz Library	The LuEsther T Mertz Library, the New York Botanical Garden	13072	Q10340184			1916-01-01	| permissions = NOT_IN_COPYRIGHT<br>
Les bois indigènes de São Paulo (Page 189) BHL13035013.jpg	13035013	Text Illustration	Les bois indigènes de São Paulo	Q51406082	New York Botanical Garden, LuEsther T. Mertz Library	The LuEsther T Mertz Library, the New York Botanical Garden	13072	Q10340184			1916-01-01	| permissions = NOT_IN_COPYRIGHT<br>
Les bois indigènes de São Paulo (Page 190) BHL13035014.jpg	13035014	Text Illustration	Les bois indigènes de São Paulo	Q51406082	New York Botanical Garden, LuEsther T. Mertz Library	The LuEsther T Mertz Library, the New York Botanical Garden	13072	Q10340184			1916-01-01	| permissions = NOT_IN_COPYRIGHT<br>
Les bois indigènes de São Paulo (Page 2) BHL13034813.jpg	13034813	Text Illustration	Les bois indigènes de São Paulo	Q51406082	New York Botanical Garden, LuEsther T. Mertz Library	The LuEsther T Mertz Library, the New York Botanical Garden	13072	Q10340184			1916-01-01	| permissions = NOT_IN_COPYRIGHT<br>
Les bois indigènes de São Paulo (Page 201) BHL13035025.jpg	13035025	Text Illustration	Les bois indigènes de São Paulo	Q51406082	New York Botanical Garden, LuEsther T. Mertz Library	The LuEsther T Mertz Library, the New York Botanical Garden	13072	Q10340184			1916-01-01	| permissions = NOT_IN_COPYRIGHT<br>
Les bois indigènes de São Paulo (Page 202) BHL13035026.jpg	13035026	Text Illustration	Les bois indigènes de São Paulo	Q51406082	New York Botanical Garden, LuEsther T. Mertz Library	The LuEsther T Mertz Library, the New York Botanical Garden	13072	Q10340184			1916-01-01	| permissions = NOT_IN_COPYRIGHT<br>
Les bois indigènes de São Paulo (Page 205) BHL13035029.jpg	13035029	Text Illustration	Les bois indigènes de São Paulo	Q51406082	New York Botanical Garden, LuEsther T. Mertz Library	The LuEsther T Mertz Library, the New York Botanical Garden	13072	Q10340184			1916-01-01	| permissions = NOT_IN_COPYRIGHT<br>
Les bois indigènes de São Paulo (Page 207) BHL13035031.jpg	13035031	Text Illustration	Les bois indigènes de São Paulo	Q51406082	New York Botanical Garden, LuEsther T. Mertz Library	The LuEsther T Mertz Library, the New York Botanical Garden	13072	Q10340184			1916-01-01	| permissions = NOT_IN_COPYRIGHT<br>
Les bois indigènes de São Paulo (Page 209) BHL13035033.jpg	13035033	Text Illustration	Les bois indigènes de São Paulo	Q51406082	New York Botanical Garden, LuEsther T. Mertz Library	The LuEsther T Mertz Library, the New York Botanical Garden	13072	Q10340184			1916-01-01	| permissions = NOT_IN_COPYRIGHT<br>
Les bois indigènes de São Paulo (Page 21) BHL13034832.jpg	13034832	Text Illustration	Les bois indigènes de São Paulo	Q51406082	New York Botanical Garden, LuEsther T. Mertz Library	The LuEsther T Mertz Library, the New York Botanical Garden	13072	Q10340184			1916-01-01	| permissions = NOT_IN_COPYRIGHT<br>
Les bois indigènes de São Paulo (Page 211) BHL13035035.jpg	13035035	Text Illustration	Les bois indigènes de São Paulo	Q51406082	New York Botanical Garden, LuEsther T. Mertz Library	The LuEsther T Mertz Library, the New York Botanical Garden	13072	Q10340184			1916-01-01	| permissions = NOT_IN_COPYRIGHT<br>
