File	BHL Page ID	Instance of	Published In	Published In QID	Collection	Sponsor	Bibliography ID	Illustrator	Engraver	Lithographer	Ref URL for Authors	Inception	Names	Flickr ID	Flickr Tags
Oiseaux brillans du Brésil (20118041314).jpg	47697232	Illustration			Natural History Museum Library, London		103658	Q10340184		Q131861745				20118041314	['Natural History Museum Library, London', 'bhl:page=47697232', 'dc:identifier=http://biodiversitylibrary.org/page/47697232', 'bird', 'birds', 'ornithology', 'Brazil', 'taxonomy:binomial=Psittacus cyanogaster', 'artist:viaf=90724187', 'taxonomy:binomial=Triclaria malachitacea', 'taxonomy:common=Blue-bellied Parrot', 'artist:name=Jean Théodore Descourtilz', 'HistSciArt']
Oiseaux brillans du Brésil (20118183304).jpg	47697337	Illustration			Natural History Museum Library, London		103658	Q10340184		Q131861745				20118183304	['Natural History Museum Library, London', 'bhl:page=47697337', 'dc:identifier=http://biodiversitylibrary.org/page/47697337', 'bird', 'birds', 'ornithology', 'Brazil', 'artist:viaf=90724187', 'artist:name=Jean Theodore Descourtilz', 'taxonomy:common=golden-headed manakin', 'taxonomy:binomial=Pipra erythrocephala', 'taxonomy:binomial=Pipra auricoma', 'taxonomy:common=Manakin a Tete D’or']
Oiseaux brillans du Brésil (20119724703).jpg	47697172	Illustration			Natural History Museum Library, London		103658	Q10340184		Q131861745				20119724703	['Natural History Museum Library, London', 'bhl:page=47697172', 'dc:identifier=http://biodiversitylibrary.org/page/47697172', 'bird', 'birds', 'ornithology', 'Brazil', 'taxonomy:binomial=Eubucco versicolor', 'taxonomy:common=Versicoloured barbet', 'taxonomy:binomial=Capito', 'taxonomy:binomial=Capito maynahensis', 'artist:viaf=90724187', 'artist:name=Jean Theodore Descourtilz', 'taxonomy:common=blue-moustached barbet']
Oiseaux brillans du Brésil (20119828023).jpg	47697345	Illustration			Natural History Museum Library, London		103658	Q10340184		Q131861745				20119828023	['Natural History Museum Library, London', 'bhl:page=47697345', 'dc:identifier=http://biodiversitylibrary.org/page/47697345', 'bird', 'birds', 'ornithology', 'Brazil', 'artist:name=Jean-Theodore Descourtilz', 'artist:viaf=90724187', 'taxonomy:binomial=Cephalopterus ornatus', 'taxonomy:common=Amazonian umbrellabird', 'taxonomy:common=Cephaloptere Orne']
Oiseaux brillans du Brésil (20119883083).jpg	47697405	Illustration			Natural History Museum Library, London			Q10340184		Q131861745				20119883083	['Natural History Museum Library, London', 'bhl:page=47697405', 'dc:identifier=http://biodiversitylibrary.org/page/47697405', 'bird', 'birds', 'ornithology', 'Brazil', 'taxonomy:binomial=Trochilus musea', 'artist:name=Jean-Theodore Descourtilz', 'artist:viaf=90724187', 'taxonomy:common=Oiseau Mouche Tres-Petit', 'taxonomy:family=Trochilidae']
Oiseaux brillans du Brésil (20552662040).jpg	47697224	Illustration			Natural History Museum Library, London		103658	Q10340184		Q131861745				20552662040	['Natural History Museum Library, London', 'bhl:page=47697224', 'dc:identifier=http://biodiversitylibrary.org/page/47697224', 'bird', 'birds', 'ornithology', 'Brazil', 'taxonomy:binomial=Psittacula passerina', 'artist:viaf=90724187', 'artist:name=Jean Theodore Descourtilz', 'taxonomy:binomial=Forpus xanthopterygius', 'taxonomy:common=Blue-winged Parrotlet']
Oiseaux brillans du Brésil (20552665460).jpg	47697220	Illustration			Natural History Museum Library, London		103658	Q10340184		Q131861745				20552665460	['Natural History Museum Library, London', 'bhl:page=47697220', 'dc:identifier=http://biodiversitylibrary.org/page/47697220', 'bird', 'birds', 'ornithology', 'Brazil', 'taxonomy:binomial=Conurus guarouba', 'artist:viaf=90724187', 'artist:name=Jean Theodore Descourtilz', 'taxonomy:binomial=Aratinga solstitialis', 'taxonomy:common=Sun Conure', 'endangered', 'taxonomy:common=Sun Parakeet']
Oiseaux brillans du Brésil (20552687670).jpg	47697212	Illustration			Natural History Museum Library, London		103658	Q10340184		Q131861745				20552687670	['Natural History Museum Library, London', 'bhl:page=47697212', 'dc:identifier=http://biodiversitylibrary.org/page/47697212', 'bird', 'birds', 'ornithology', 'Brazil', 'artist:viaf=90724187', 'artist:name=Jean Theodore Descourtilz', 'taxonomy:binomial=Ramphastos ariel', 'taxonomy:common=Ariel Toucan', 'endangered', 'HistSciArt', 'BHLIG']
Oiseaux brillans du Brésil (20552698370).jpg	47697168	Illustration			Natural History Museum Library, London		103658	Q10340184		Q131861745				20552698370	['Natural History Museum Library, London', 'bhl:page=47697168', 'dc:identifier=http://biodiversitylibrary.org/page/47697168', 'bird', 'birds', 'ornithology', 'Brazil', 'artist:viaf=90724187', 'artist:name=Jean Theodore Descourtilz', 'taxonomy:binomial=Capito thoracicus', 'taxonomy:binomial=Lybius torquatus', 'taxonomy:common=black-collared barbet']
Oiseaux brillans du Brésil (20552717580).jpg	47697188	Illustration			Natural History Museum Library, London		103658	Q10340184		Q131861745				20552717580	['Natural History Museum Library, London', 'bhl:page=47697188', 'dc:identifier=http://biodiversitylibrary.org/page/47697188', 'bird', 'birds', 'ornithology', 'Brazil', 'artist:viaf=90724187', 'artist:name=Jean Theodore Descourtilz', 'taxonomy:binomial=Calyptura cristata', 'taxonomy:binomial=Theraphosa blondi', 'taxonomy:common=Goliath birdeater', 'tarantulas', 'spiders', 'arachnology', 'taxonomy:common=kinglet calyptura', 'taxonomy:binomial=pardalotte huppé', 'taxonomy:binomial=pardalote couronné', '#PageFrights', 'halloween', 'BHLIG']
Oiseaux brillans du Brésil (20552723138).jpg	47697261	Illustration			Natural History Museum Library, London		103658	Q10340184		Q131861745				20552723138	['Natural History Museum Library, London', 'bhl:page=47697261', 'dc:identifier=http://biodiversitylibrary.org/page/47697261', 'bird', 'birds', 'ornithology', 'Brazil', 'artist:viaf=90724187', 'artist:name=Jean Theodore Descourtilz', 'taxonomy:binomial= Phoenicircus carnifex', 'taxonomy:common=Guianan Red Cotinga', 'taxonomy:binomial=cotinga ouette', 'taxonomy:binomial=Ampelis carnifex']
